"filename", "language", "C++", "C", "Markdown", "comment", "blank", "total"
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/README.md", "Markdown", 0, 0, 8, 0, 8, 16
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/bullets.c", "C", 0, 174, 0, 77, 25, 276
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/bullets.h", "C++", 26, 0, 0, 0, 3, 29
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/constants.h", "C++", 129, 0, 0, 20, 34, 183
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/enemies.c", "C", 0, 432, 0, 110, 80, 622
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/enemies.h", "C++", 64, 0, 0, 0, 10, 74
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/game.c", "C", 0, 190, 0, 51, 70, 311
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/game.h", "C++", 25, 0, 0, 1, 5, 31
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/graphics.c", "C", 0, 89, 0, 39, 25, 153
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/graphics.h", "C++", 21, 0, 0, 0, 5, 26
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/init_win.c", "C", 0, 78, 0, 19, 26, 123
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/init_win.h", "C++", 7, 0, 0, 0, 3, 10
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/maps.c", "C", 0, 242, 0, 54, 65, 361
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/maps.h", "C++", 23, 0, 0, 0, 4, 27
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/start_game.c", "C", 0, 5, 0, 0, 1, 6
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/warrior.c", "C", 0, 354, 0, 103, 62, 519
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/warrior.h", "C++", 55, 0, 0, 0, 7, 62
"Total", "-", 350, 1564, 8, 474, 433, 2829
